LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
432234                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.15                0                   0                   0.15                -28.046000          -54.681000          F 
431750                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             10                  5.17                1.93                1.93                5.17                -28.299000          -54.263000          F 
430840                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.48                0                   0                   0.48                -30.000000          -53.499000          F 
430150                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.48                4.15                4.15                0.48                -28.517000          -53.992000          F 
432057                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.14                14.11               14.11               0.14                -28.131000          -54.463000          F 
431310                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.47                0                   0                   0.47                -29.472000          -53.469000          F 
431500                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.36                2.79                2.79                0.36                -27.856000          -55.016000          F 
431843                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.18                5.54                5.54                0.18                -29.614000          -53.446000          F 
430430                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.45                2.21                2.21                0.45                -27.952000          -54.752000          F 
430800                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.47                0                   0                   0.47                -29.575000          -53.445000          F 
430587                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.18                0                   0                   0.18                -28.383000          -54.066000          F 
432032                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.20                0                   0                   0.20                -28.031000          -54.543000          F 
430222                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.18                0                   0                   0.18                -28.607000          -53.815000          F 
431550                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   1.12                1.79                1.79                1.12                -29.813000          -53.375000          F 
430280                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             12                  2.31                5.19                5.19                2.31                -30.512000          -53.491000          F 
