cod_mun;ESPACIAL_CLUSTER;ESPACIAL_P_VALUE;ESPACIAL_CLU_OBS;ESPACIAL_CLU_EXP;ESPACIAL_CLU_ODE;ESPACIAL_CLU_RR;ESPACIAL_CLU_POP;ESPACIAL_LOC_OBS;ESPACIAL_LOC_EXP;ESPACIAL_LOC_ODE;ESPACIAL_LOC_RR;ESPACIAL_LOC_POP;ESPACIAL_CLU_RISCO;ESPACIAL_DATA_REF
430670;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,21;9,43;9,44;0,21;Alto risco;2019
430160;1;1E-17;2458;1331,11;1,85;2,03;1331,11;12;7,94;1,51;1,51;7,94;Alto risco;2019
431020;1;1E-17;2458;1331,11;1,85;2,03;1331,11;12;5,68;2,11;2,12;5,68;Alto risco;2019
430900;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;1,13;1,77;1,77;1,13;Alto risco;2019
430500;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,63;4,79;4,79;0,63;Alto risco;2019
431507;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,1;0;0;0,1;Alto risco;2019
431790;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;1,03;2,9;2,9;1,03;Alto risco;2019
431447;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,31;0;0;0,31;Alto risco;2019
430010;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;1,17;1,72;1,72;1,17;Alto risco;2019
430610;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;3,96;0,76;0,76;3,96;Alto risco;2019
431720;1;1E-17;2458;1331,11;1,85;2,03;1331,11;11;4,99;2,2;2,2;4,99;Alto risco;2019
430003;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,35;0;0;0,35;Alto risco;2019
430258;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,15;0;0;0,15;Alto risco;2019
431402;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,53;3,74;3,74;0,53;Alto risco;2019
430223;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,18;0;0;0,18;Alto risco;2019
431430;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,28;3,51;3,51;0,28;Alto risco;2019
430030;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,45;4,49;4,49;0,45;Alto risco;2019
430965;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,44;2,27;2,27;0,44;Alto risco;2019
432230;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,58;1,73;1,73;0,58;Alto risco;2019
430975;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,29;6,82;6,83;0,29;Alto risco;2019
430020;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,5;0;0;0,5;Alto risco;2019
431645;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,82;2,43;2,43;0,82;Alto risco;2019
430781;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,25;11,77;11,77;0,25;Alto risco;2019
430120;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,91;2,19;2,19;0,91;Alto risco;2019
431040;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,44;0;0;0,44;Alto risco;2019
