LATITUDE,LONGITUDE,TAXA_HABITANTE
-5.033,-44.436,0.72
-4.156,-42.944,1.56
-4.883,-44.688,0.3
-6.561,-47.451,0.51
-6.96,-46.686,0.89
-6.152,-44.893,0.85
-6.435,-46.191,0.27
-6.964,-46.177,0.99
-5.733,-44.158,0.23
-1.403,-45.78,0.17
-5.151,-44.299,0.47
-5.022,-44.271,0.5
-5.749,-47.361,0.15
-5.323,-44.247,0.7
-3.426,-45.676,0.37
-2.126,-45.885,0.25
-5.819,-46.139,0.8
-2.598,-43.461,0.64
-2.776,-44.066,0.25
-3.661,-45.227,0.78
-4.585,-44.853,0.36
-5.526,-47.476,0.82
-3.393,-44.359,0.53
-4.45,-47.526,1.18
-5.371,-45.636,0.05
-5.448,-47.401,1.03
-4.967,-44.7,1.27
-4.57,-45.132,1.07
-3.957,-44.822,0.3
-6.047,-43.526,0.22
-4.609,-44.98,0.85
-6.189,-47.035,0.62
-1.268,-45.873,1.31
-3.396,-42.204,0.29
-2.241,-45.851,0.31
-3.625,-43.111,0.35
-3.101,-45.034,0.08
-5.519,-43.199,0.25
-3.632,-44.556,0.45
-6.371,-44.363,0.21
-3.569,-44.584,0.54
-3.492,-45.251,0.06
-5.831,-47.067,0.4
-3.466,-43.905,0.12
-2.847,-45.695,0.19
-4.139,-45.12,0.4
-2.998,-44.997,0.36
-2.532,-44.108,0.53
-6.433,-43.984,0.45
-5.682,-43.093,1.19
-6.18,-43.784,0.38
-6.602,-44.077,0.52
-4.445,-45.239,0.09
-4.574,-44.597,1.66
-3.294,-45.174,0.35
-2.578,-44.854,0.67
-3.608,-45.343,0.85
-2.521,-45.083,0.81
-3.727,-44.223,0.15
-4.746,-44.943,0.64
-6.338,-47.399,0.91
-5.29,-44.49,0.37
-2.387,-45.82,0.43
-3.407,-44.024,1.2
-2.423,-44.103,0.43
-7.362,-46.617,0.35
-5.93,-47.384,0.47
-2.934,-44.235,0.31
-7.14,-45.346,1.53
-5.501,-44.561,0.57
-2.231,-45.3,0.31
-3.667,-45.38,0.49
-4.069,-45.69,0.42
-2.629,-45.773,0.44
-3.516,-42.547,0.18
-3.144,-44.326,0.4
-3.116,-42.412,0
-2.5,-43.254,0.42
-4.869,-44.36,0.45
-3.334,-43.528,0.41
-2.696,-44.821,0.07
-3.361,-42.418,0.27
-5.576,-44.385,0.8
-7.083,-44.813,3.29
-5.123,-47.386,0.43
-6.251,-42.857,0.29
-3.554,-46.256,0.1
-6.461,-47.058,0.16
-6.495,-43.702,1.05
-2.562,-44.054,0.34
-5.051,-44.584,1.58
-2.53,-44.303,0.59
-4.38,-44.67,0.44
-4.04,-44.47,0.67
-5.085,-48.429,0.11
-6.826,-46.532,1.24
-7.022,-45.481,0.55
-5.105,-45.077,0.7
-5.021,-44.991,0.94
-5.256,-44.056,0.06
-5.443,-47.291,0.47
-5.878,-46.699,0.27
-6.477,-44.192,1.49
-6.411,-43.546,0.63
-8.475,-45.743,0.82
-5.094,-42.837,0.79
-4.538,-44.628,0.58
-3.729,-45.554,0.39
-5.258,-44.649,0.39
-1.663,-45.372,0.18
-2.762,-42.274,0.06
-3.208,-43.404,0.49
-3.543,-43.916,0.69
-3.22,-45.004,0.34
-5.188,-48.136,0.81
-3.462,-44.871,0.2
-4.282,-45.251,0.19
-3.243,-45.824,0.38
-8.215,-41.082,5.16
-5.89,-42.638,0.43
-7.243,-40.858,2.26
-5.251,-42.21,1.57
-5.039,-42.461,0.94
-8.424,-43.777,0.79
-6.241,-42.855,1.34
-6.086,-42.739,1.28
-9.189,-43.046,0.78
-7.219,-44.198,0.29
-6.119,-41.793,1.1
0,0,4.2
-6.655,-42.532,1.9
-5.864,-41.049,1.56
-10.137,-43.949,1.34
-7.85,-45.214,0.65
-6.517,-42.114,2.74
-4.247,-42.296,0.52
-9.925,-45.475,1.42
-5.818,-42.513,2.18
-4.024,-42.078,1.63
-7.989,-41.868,2.08
-7.376,-40.972,0
-5.455,-42.36,2.39
-7.641,-43.951,2.07
-8.148,-40.796,4.43
-4.411,-42.086,0.78
-9.074,-44.359,1.71
-3.191,-41.645,0.86
-9.166,-42.874,0.45
-4.487,-42.074,0.78
-4.131,-41.782,1.1
-8.214,-42.826,0
-3.175,-41.867,0.72
-5.312,-41.098,1.81
-4.476,-42.309,1.1
-2.928,-41.336,1.25
-7.66,-41.882,0.87
-8.376,-41.836,0.37
-7.132,-41.036,0.22
-3.812,-42.629,1.19
-4.828,-42.169,1.3
-7.688,-43.721,0.38
-8.11,-42.944,1.25
-4.457,-41.944,1.23
-8.49,-41.82,2.27
-9.279,-43.33,0.33
-3.476,-41.843,0.76
-5.322,-41.553,2.49
-3.471,-41.555,1.11
-4.559,-41.972,0
-5.094,-42.207,0.73
-7.231,-42.178,0.27
-7.878,-41.597,3.07
-8.816,-42.513,0.99
-10.443,-45.162,1.96
-8.818,-44.224,0.72
-10.036,-44.306,1.12
-7.832,-40.901,0.67
-5.358,-42.676,1.83
-6.959,-41.641,1.74
-4.254,-41.27,0.47
-9.002,-41.974,1.13
-6.202,-42.14,0.65
-3.902,-42.234,0.7
-9.484,-42.791,0.63
-7.791,-42.927,1.55
-7.469,-41.794,1.8
-6.767,-43.023,1.01
-6.396,-42.262,0.78
-7.088,-40.616,1.41
-7.158,-41.361,1.6
-9.832,-45.344,0.21
-6.787,-43.569,1.89
-9.398,-43.687,6.93
-6.668,-41.708,2.66
-6.828,-41.741,0.66
-7.738,-41.676,1.07
-7.447,-41.478,0.69
-7.603,-43.026,1.06
-7.935,-41.21,0.49
-7.359,-41.138,0.66
-6.099,-42.63,1.61
-7.088,-43.51,1.46
-3.508,-42.198,1.75
-3.478,-42.428,0.37
-4.756,-42.576,0.79
-5.172,-41.703,0.29
-10.323,-44.238,0.97
-5.831,-42.623,1.2
-4.516,-42.625,0.19
-8.478,-41.527,2.11
-5.415,-42.643,1.19
